date,year,type,country,area,location,activity,sex,age,fatal_y_n,time,species,activity_group,species_group
1993-10-01,1993,Unprovoked,USA,Hawaii,"Mouth of Wallua River, Kaua'i",Surfing,,,N,,Tiger shark,surfing,tiger shark
1993-06-29,1993,Unprovoked,REUNION,Saint-Paul,Cap de la Marianne,Body boarding,M,16.0,N,,,watercraft,unknown
1993-03-27,1993,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,M,,N,,,surfing,unknown
1993-03-22,1993,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Floating on his back,M,25.0,N,16h00,,other,unknown
1992-09-13,1992,Unprovoked,USA,Oregon,"Gold Beach, Curry County",Surfing,M,20.0,N,17h00,4 m to 5 m [13' to 16.5']  white shark,surfing,other shark
1992-09-10,1992,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,,Y,,,swimming,unknown
1992-01-06,1992,Unprovoked,MAURITIUS,,Mahebourg,Fishing,M,,N,,Grey reef shark,fishing,other shark
1991-11-14,1991,Provoked,USA,Florida,Near Port Canaveral Coast Guard Base,Fishing,M,,N,12h54,2.4 m [8'] shark,fishing,other shark
1991-10-05,1991,Unprovoked,USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",Surfing,M,32.0,N,07h30,5 m to 6 m [16.5' to 20'] white shark,surfing,other shark
1990-10-30,1990,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,18.0,N,15h30,,surfing,unknown
1990-10-15,1990,Unprovoked,USA,Hawaii,"Hanalei Point, Kaua'i",Surfing,M,43.0,N,15h00,"Tiger shark, 3.7 m [12']",surfing,tiger shark
1989-04-01,1989,Unprovoked,USA,Hawaii,"Kekaha Beach, Kaua'i",Paddling on surfboard,M,,N,,,surfing,unknown
1988-04-15,1988,Invalid,USA,Hawaii,"Waihe'e, Maui",Onboard 21' powerboat that capsized in rough seas,M,,,,Shark involvement prior to death was not confirmed,watercraft,other shark
1986-10-03,1986,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,F,6.0,N,18h00,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",swimming,other shark
1985-05-08,1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Spearfishing,M,39.0,N,,30-kg [66-lb] shark,fishing,other shark
1985-02-18,1985,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),M,29.0,N,12h45,6 m [20'] white shark,surfing,other shark
1985-01-17,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,M,18.0,N,18h30,"3.5 m white shark, tooth fragments recovered",surfing,other shark
1984-12-03,1984,Watercraft,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",Boat,,,N,,White shark,watercraft,white shark
1984-09-30,1984,Unprovoked,USA,Oregon,"Turnaround, Cape Kiwanda, Tillamook County",Surfing (sitting on his board),M,25.0,N,15h30,3 m to 5 m [10' to 16.5'] white shark,surfing,other shark
1984-09-11,1984,Provoked,MEXICO,Baja California,Guadalupe Island,Spearfishing,M,,N,17h50,4.5 m to 5.5m white shark,fishing,other shark
1984-01-04,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,,F,14.0,Y,,,other,unknown
1984-01-01,1984,Provoked,USA,California,San Francisco,Steinhart Aquarium,M,,N,,Sevengill shark,other,other shark
1983-12-21,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,47.0,N,08h15,"Raggedtooth shark, >1 m",swimming,other shark
1982-11-01,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",In waist-deep water,M,,N,,,other,unknown
1982-07-01,1982,Unprovoked,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",,,,N,,,other,unknown
1982-06-26,1982,Unprovoked,BAHAMAS,Andros Islands,North Rat Cay Reef,Spearfishing,M,19.0,N,,"Lemon shark, 2 m [6'9]",fishing,other shark
1980-10-17,1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,19.0,N,09h30,4 m to 5 m [13' to 16.5'] white shark,surfing,other shark
1978-11-23,1978,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,17.0,N,,,surfing,unknown
1978-04-02,1978,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,Diving,M,23.0,N,,,diving,unknown
1976-09-22,1976,Sea Disaster,NEW CALEDONIA,,Sarcelle,Shipwreck,,,N,,,other,unknown
1975-06-02,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,20.0,N,,,surfing,unknown
1975-01-19,1975,Unprovoked,AUSTRALIA,South Australia,Coffin Bay,Surfing,M,17.0,Y,,,surfing,unknown
1974-09-02,1974,Unprovoked,USA,California,"Franklin Point, San Mateo County",Scuba diving (but on surface),M,48.0,N,17h30,"White shark, 5 m to 6 m [16.5 to 20']",surfing,white shark
,1974,Unprovoked,AUSTRALIA,Western Australia,Emu Channel,Spearfishing,M,,N,,"Bronze whaler shark, 4'",fishing,other shark
1973-01-21,1973,Provoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Fishing from paddleski,M,,N,,1 m shark,fishing,other shark
1973-01-09,1973,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Surfing,M,,N,,1.2 m to 1.8 m [4' to 6'] shark observed in area,surfing,other shark
1972-09-04,1972,Invalid,MOZAMBIQUE,Maputo Province,Inhaca Island,Swimming,F,20.0,,,Questionable incident,swimming,unknown
1972-07-05,1972,Invalid,USA,California,"Laguna Beach, Orange County",Diving,,,,,Questionable incident,diving,unknown
1971-06-30,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,21.0,N,15h35,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board",surfing,white shark
1970-01-23,1970,Unprovoked,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,14.0,N,,,swimming,unknown
,1970,Unprovoked,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife",Spearfishing,M,,N,,Blue shark,fishing,other shark
,1969,Provoked,BAHAMAS,Eleuthera,,Sight-seeing,,,N,,10' shark,other,other shark
1968-04-11,1968,Unprovoked,PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,Swimming,M,7.0,Y,,,swimming,unknown
1964-10-25,1964,Invalid,USA,Florida,"Near US Air Force Base at Elgin, Okaloosa County",Boat Miss Becky  sank 12 miles from shore,,,,Night,Invalid,watercraft,unknown
1964-09-07,1964,Unprovoked,TAIWAN,Northern Taiwan,Tamsui Beach,Swimming,M,20.0,N,13h30,1.8 m [6'] shark,swimming,other shark
1962-12-01,1962,Watercraft,SOUTH AFRICA,Western Cape Province,Swartklip,Fishing,,,N,,"2 m [6'9], 87.5-kg [193-lb]  shark",fishing,other shark
1962-08-30,1962,Watercraft,TURKEY,Antalya Province,Ucagiz,,M,,N,,,other,unknown
1962-06-11,1962,Unprovoked,USA,California,San Francisco Bay,Escaping from Alacatraz,M,35.0,Y,Night,,other,unknown
1962-06-10,1962,Unprovoked,USA,South Carolina,"Hilton Head, Beaufort County",Standing,M,13.0,N,16h00,,swimming,unknown
1962-04-05,1962,Provoked,SOUTH AFRICA,Eastern Cape Province,East London,Fishing,,,N,,4.9 m [16']shark,fishing,other shark
1962-01-08,1962,Invalid,AUSTRALIA,New South Wales,Lake Illawarra,Swimming,M,25.0,,,Shark involvement prior to death was not confirmed,swimming,other shark
1962-01-07,1962,Provoked,AUSTRALIA,Queensland,Dicky Beach,Rowing,,,N,,,other,unknown
1962-01-02,1962,Provoked,AUSTRALIA,New South Wales,"Seaspray, near Sale",Fishing,,,N,,2.7 m [9'] shark,fishing,other shark
1961-12-13,1961,Unprovoked,AUSTRALIA,Torres Strait,"Horn Island, near Thursday Island",Swimming with other crew near wharf,M,17.0,N,14h00,1.8 m [6'] shark,swimming,other shark
1961-07-16,1971,Unprovoked,TURKEY,Anatolia,"İnciralti Beach, İzmir",Swimming,M,16.0,N,,,swimming,unknown
1960-11-01,1960,Watercraft,SOUTH AFRICA,Western Cape Province,"5 km from Gordon’s Bay, False Bay",Hand lining for shad,,,N,,White shark (tooth fragments recovered from hull of boat),other,white shark
1960-08-30,1960,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",Swimming 3 miles offshore,M,25.0,N,17h15,,swimming,unknown
1960-08-29,1960,Sea Disaster,SENEGAL,Cap-Vert Peninsula,off Dakar,Air disaster: crash of Air France Super Constellation,,,Y,,,other,unknown
1960-04-22,1960,Provoked,AUSTRALIA,Western Australia,Rottnest Island,"Fishing, hauling in a set line",M,,N,,"Bronze whaler shark, 3 m [10'], 200-lb",fishing,other shark
1960-04-14,1960,Invalid,BERMUDA,"33N, 68W",Royal Canadian Navy CS2F-1 aircraft ditched in the sea 180 nautical miles WNW of Bermuda at 01h30,Floating on a raft,M,,,09h00 - 09h30,Questionable incident,other,unknown
1960-02-24,1960,Provoked,SENEGAL,Casamance,Ziguinchor,Fishing,M,,N,,,fishing,unknown
1960-02-07,1960,Provoked,AUSTRALIA,New South Wales,Wattamolla National Park,Spearfishing,M,20.0,N,,"Grey nurse shark, 2.9 m [9'6]",fishing,other shark
1958-12-12,1958,Unprovoked,AMERICAN SAMOA,Tutuila Island,Van Camp wharf,Cleaning hull of ship,M,22.0,Y,11h00,Tiger shark,other,tiger shark
1958-07-04,1958,Sea Disaster,PACIFIC OCEAN,Between Hawaii & Wake Island,600 miles northwest of Honolulu,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,M,,Y,10h45,Sharks averaged 1.8 m [6'] in length,other,other shark
1957-02-24,1957,Unprovoked,FIJI,Viti Levu,Suva Harbor,Spearfishing,M,,N,,,fishing,unknown
1956-10-01,1956,Unprovoked,PAPUA NEW GUINEA,,Port Moresby,Fishing,M,,Y,,,fishing,unknown
1956-07-28,1956,Provoked,USA,Puerto Rico,Aquadilla,Floating in inner tube,M,13.0,Y,10h30,,other,unknown
1954-12-11,1954,Unprovoked,AUSTRALIA,Victoria,Point Lonsdale,Swimming,M,23.0,Y,11h00,,swimming,unknown
1954-01-15,1954,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Singour, 60 miles south of Madang",Crouching in the water,M,26.0,N,Late afternoon,14' shark,other,other shark
1953-12-01,1953,Unprovoked,AUSTRALIA,New South Wales,Maroubra Beach,Surf skiing,M,,N,,3.7 [12'] shark,surfing,other shark
1953-09-20,1953,Unprovoked,USA,California,"Santa Catalina Island, Los Angeles County",Scuba diving,M,,N,,,diving,unknown
1953-07-26,1953,Unprovoked,USA,Hawaii,"Maile Beach, O'ahu",Spearfishing,M,15.0,Y,09h15,3 m [10'] shark seen in vicinity,fishing,other shark
1953-03-01,1953,Sea Disaster,INDIAN OCEAN,,Between Straits of Malacca and Sri Lanka,Adrift on a 4'  raft for 32 days,,,Y,,,other,unknown
